User Role,originatorName,USER ID/EUI64,DUIS Version,Environment
IS2,70-B3-D5-1F-31-AA-02-19_IS2_DUIS4.0,70-B3-D5-1F-31-AA-02-19,4.0,SIT-B
ES,70-B3-D5-1F-31-AA-02-20_ES_DUIS4.0,70-B3-D5-1F-31-AA-02-20,4.0,SIT-B
GS1,70-B3-D5-1F-31-AA-02-21_GS1_DUIS4.0,70-B3-D5-1F-31-AA-02-21,4.0,SIT-B
GS2,70-B3-D5-1F-31-AA-02-22_GS2_DUIS4.0,70-B3-D5-1F-31-AA-02-22,4.0,SIT-B
ED,70-B3-D5-1F-31-AA-02-23_ED_DUIS4.0,70-B3-D5-1F-31-AA-02-23,4.0,SIT-B
GT,70-B3-D5-1F-31-AA-02-24_GT_DUIS4.0,70-B3-D5-1F-31-AA-02-24,4.0,SIT-B
RSA,70-B3-D5-1F-31-AA-02-25_RSA_DUIS4.0,70-B3-D5-1F-31-AA-02-25,4.0,SIT-B
OU,70-B3-D5-1F-31-AA-02-26_OU_DUIS4.0,70-B3-D5-1F-31-AA-02-26,4.0,SIT-B
IS1,70-B3-D5-1F-31-AA-02-27_IS1_DUIS5.0,70-B3-D5-1F-31-AA-02-27,5.0,SIT-B
IS2,70-B3-D5-1F-31-AA-02-28_IS2_DUIS5.0,70-B3-D5-1F-31-AA-02-28,5.0,SIT-B
ES,70-B3-D5-1F-31-AA-02-29_ES_DUIS5.0,70-B3-D5-1F-31-AA-02-29,5.0,SIT-B
GS1,70-B3-D5-1F-31-AA-02-30_GS1_DUIS5.0,70-B3-D5-1F-31-AA-02-30,5.0,SIT-B
GS2,70-B3-D5-1F-31-AA-02-31_GS2_DUIS5.0,70-B3-D5-1F-31-AA-02-31,5.0,SIT-B
ED,70-B3-D5-1F-31-AA-02-32_ED_DUIS5.0,70-B3-D5-1F-31-AA-02-32,5.0,SIT-B
GT,70-B3-D5-1F-31-AA-02-33_GT_DUIS5.0,70-B3-D5-1F-31-AA-02-33,5.0,SIT-B
RSA,70-B3-D5-1F-31-AA-02-34_RSA_DUIS5.0,70-B3-D5-1F-31-AA-02-34,5.0,SIT-B
OU,70-B3-D5-1F-31-AA-02-35_OU_DUIS5.0,70-B3-D5-1F-31-AA-02-35,5.0,SIT-B
IS1,70-B3-D5-1F-31-AA-02-36_IS1_DUIS5.1,70-B3-D5-1F-31-AA-02-36,5.1,SIT-B
IS2,70-B3-D5-1F-31-AA-02-37_IS2_DUIS5.1,70-B3-D5-1F-31-AA-02-37,5.1,SIT-B
ES,70-B3-D5-1F-31-AA-02-38_ES_DUIS5.1,70-B3-D5-1F-31-AA-02-38,5.1,SIT-B
GS1,70-B3-D5-1F-31-AA-02-39_GS1_DUIS5.1,70-B3-D5-1F-31-AA-02-39,5.1,SIT-B
GS2,70-B3-D5-1F-31-AA-02-40_GS2_DUIS5.1,70-B3-D5-1F-31-AA-02-40,5.1,SIT-B
ED,70-B3-D5-1F-31-AA-02-41_ED_DUIS5.1,70-B3-D5-1F-31-AA-02-41,5.1,SIT-B
GT,70-B3-D5-1F-31-AA-02-42_GT_DUIS5.1,70-B3-D5-1F-31-AA-02-42,5.1,SIT-B
RSA,70-B3-D5-1F-31-AA-02-43_RSA_DUIS5.1,70-B3-D5-1F-31-AA-02-43,5.1,SIT-B
OU,70-B3-D5-1F-31-AA-02-44_OU_DUIS5.1,70-B3-D5-1F-31-AA-02-44,5.1,SIT-B
IS1,70-B3-D5-1F-31-AA-02-45_IS1_DUIS5.2,70-B3-D5-1F-31-AA-02-45,5.2,SIT-B
IS2,70-B3-D5-1F-31-AA-02-46_IS2_DUIS5.2,70-B3-D5-1F-31-AA-02-46,5.2,SIT-B
ES,70-B3-D5-1F-31-AA-02-47_ES_DUIS5.2,70-B3-D5-1F-31-AA-02-47,5.2,SIT-B
GS1,70-B3-D5-1F-31-AA-02-48_GS1_DUIS5.2,70-B3-D5-1F-31-AA-02-48,5.2,SIT-B
GS2,70-B3-D5-1F-31-AA-02-49_GS2_DUIS5.2,70-B3-D5-1F-31-AA-02-49,5.2,SIT-B
ED,70-B3-D5-1F-31-AA-02-50_ED_DUIS5.2,70-B3-D5-1F-31-AA-02-50,5.2,SIT-B
GT,70-B3-D5-1F-31-AA-02-51_GT_DUIS5.2,70-B3-D5-1F-31-AA-02-51,5.2,SIT-B
RSA,70-B3-D5-1F-31-AA-02-52_RSA_DUIS5.2,70-B3-D5-1F-31-AA-02-52,5.2,SIT-B
OU,70-B3-D5-1F-31-AA-02-53_OU_DUIS5.2,70-B3-D5-1F-31-AA-02-53,5.2,SIT-B
IS1,70-B3-D5-1F-31-AA-02-54_IS1_DUIS5.3,70-B3-D5-1F-31-AA-02-54,5.3,SIT-B
IS2,70-B3-D5-1F-31-AA-02-55_IS2_DUIS5.3,70-B3-D5-1F-31-AA-02-55,5.3,SIT-B
ES,70-B3-D5-1F-31-AA-02-56_ES_DUIS5.3,70-B3-D5-1F-31-AA-02-56,5.3,SIT-B
GS1,70-B3-D5-1F-31-AA-02-57_GS1_DUIS5.3,70-B3-D5-1F-31-AA-02-57,5.3,SIT-B
GS2,70-B3-D5-1F-31-AA-02-58_GS2_DUIS5.3,70-B3-D5-1F-31-AA-02-58,5.3,SIT-B
ED,70-B3-D5-1F-31-AA-02-59_ED_DUIS5.3,70-B3-D5-1F-31-AA-02-59,5.3,SIT-B
GT,70-B3-D5-1F-31-AA-02-60_GT_DUIS5.3,70-B3-D5-1F-31-AA-02-60,5.3,SIT-B
RSA,70-B3-D5-1F-31-AA-02-61_RSA_DUIS5.3,70-B3-D5-1F-31-AA-02-61,5.3,SIT-B
OU,70-B3-D5-1F-31-AA-02-62_OU_DUIS5.3,70-B3-D5-1F-31-AA-02-62,5.3,SIT-B
MDR,70-B3-D5-1F-31-AA-02-63_MDR_DUIS5.3,70-B3-D5-1F-31-AA-02-63,5.3,SIT-B
